date,pr_CA_mmday,tas_CA_C,nino34,enso_phase,source_id,month,year
1898-09-16 00:00:00,0.5121757330422297,18.00899515624036,-0.334990927830961,Neutral,GFDL-ESM4,9,1898
1898-10-16 12:00:00,0.7037065281427425,13.630513893216744,-0.3668719203497403,Neutral,GFDL-ESM4,10,1898
1898-11-16 00:00:00,1.071337831038112,8.911520252670584,-0.41187296740058627,Neutral,GFDL-ESM4,11,1898
1898-12-16 12:00:00,4.227207654629796,5.527408112817966,-0.41549413949559266,Neutral,GFDL-ESM4,12,1898
1899-01-16 12:00:00,2.060033784125797,6.328224844696024,-0.3647423259050925,Neutral,GFDL-ESM4,1,1899
1899-02-15 00:00:00,3.737927597802003,4.474819805209336,-0.2765144908430102,Neutral,GFDL-ESM4,2,1899
1899-03-16 12:00:00,1.7484047291147102,6.511898928560868,-0.13106539527728955,Neutral,GFDL-ESM4,3,1899
1899-04-16 00:00:00,2.406499324945867,10.002842994424498,0.05941324941676385,Neutral,GFDL-ESM4,4,1899
1899-05-16 12:00:00,0.5447171766283496,15.839844821276358,0.2328216520030651,Neutral,GFDL-ESM4,5,1899
1899-06-16 00:00:00,0.2063677924917301,21.281833313501977,0.39144218761696264,Neutral,GFDL-ESM4,6,1899
1899-07-16 12:00:00,0.10622069281161844,20.551760569235512,0.6317365959050107,El Nino,GFDL-ESM4,7,1899
1899-08-16 12:00:00,0.11931031412221146,21.010651254028517,0.846841247013117,El Nino,GFDL-ESM4,8,1899
1899-09-16 00:00:00,0.761462630728979,18.90418833135817,0.9797982304912353,El Nino,GFDL-ESM4,9,1899
1899-10-16 12:00:00,1.5024695122992708,12.224583426121,1.0273303825602853,El Nino,GFDL-ESM4,10,1899
1899-11-16 00:00:00,4.1632758356223665,8.06505513285856,1.0302476810115195,El Nino,GFDL-ESM4,11,1899
1899-12-16 12:00:00,3.563839745006942,4.520841654194612,0.9037157068327474,El Nino,GFDL-ESM4,12,1899
1900-01-16 12:00:00,4.0684606366496405,5.659708956914585,0.8237238180275426,El Nino,GFDL-ESM4,1,1900
1900-02-15 00:00:00,2.255279306869483,5.672604921215338,0.7672399137865682,El Nino,GFDL-ESM4,2,1900
1900-03-16 12:00:00,6.81723772934005,7.688409491345851,0.7494527539775049,El Nino,GFDL-ESM4,3,1900
1900-04-16 00:00:00,1.764057339900149,9.696751483013827,0.6992386716525744,El Nino,GFDL-ESM4,4,1900
1900-05-16 12:00:00,3.1081949422317527,12.779307937914439,0.618790214643127,El Nino,GFDL-ESM4,5,1900
1900-06-16 00:00:00,0.691907567015463,17.61784792997946,0.39438702400683495,Neutral,GFDL-ESM4,6,1900
1900-07-16 12:00:00,0.11411961947861182,22.794148797910395,0.1422788795751103,Neutral,GFDL-ESM4,7,1900
1900-08-16 12:00:00,0.10243720447087194,22.830182861163564,-0.19032223483906135,Neutral,GFDL-ESM4,8,1900
1900-09-16 00:00:00,0.12600014740369359,18.901939406577526,-0.5291525862261437,La Nina,GFDL-ESM4,9,1900
1900-10-16 12:00:00,0.4255096744726063,15.55669146510661,-0.7501666206180744,La Nina,GFDL-ESM4,10,1900
1900-11-16 00:00:00,3.5315442299144517,7.706756759766165,-0.8448183763407655,La Nina,GFDL-ESM4,11,1900
1900-12-16 12:00:00,2.4415526662658213,5.958438891133994,-0.9699941193370023,La Nina,GFDL-ESM4,12,1900
1901-01-16 12:00:00,1.2062713545639927,6.117249995370344,-1.0678128295964484,La Nina,GFDL-ESM4,1,1901
1901-02-15 00:00:00,1.7826474694669074,9.503290739101146,-1.0768431538606023,La Nina,GFDL-ESM4,2,1901
1901-03-16 12:00:00,2.074198697463551,7.707155534394872,-1.1594949510162451,La Nina,GFDL-ESM4,3,1901
1901-04-16 00:00:00,3.338629245832667,7.553093678421874,-1.2376782371192463,La Nina,GFDL-ESM4,4,1901
1901-05-16 12:00:00,0.3529102804747884,15.557491465192413,-1.2964453480746214,La Nina,GFDL-ESM4,5,1901
1901-06-16 00:00:00,1.6723625219748508,15.87491099003745,-1.3488854155532408,La Nina,GFDL-ESM4,6,1901
1901-07-16 12:00:00,0.07459681656798052,22.495035980034004,-1.4633442443814488,La Nina,GFDL-ESM4,7,1901
